요1:1 태초에말씀이계시니라이말씀이하나님과함께계셨으니이말씀은곧하나님이시니라
요2:20 유대인들이이르되이성전은사십육년동안에지었거늘네가삼일동안에일으키겠느냐하더라
요2:21 그러나예수는성전된자기육체를가리켜말씀하신것이라
요2:22 죽은자가운데서살아나신후에야제자들이이말씀하신것을기억하고성경과예수께서하신말씀을믿었더라
요2:23 유월절에예수께서예루살렘에계시니많은사람이그의행하시는표적을보고그의이름을믿었으나
요2:24 예수는그의몸을그들에게의탁하지아니하셨으니이는친히모든사람을아심이요
요2:25 또사람에대하여누구의증언도받으실필요가없었으니이는그가친히사람의속에있는것을아셨음이니라
요3:1 그런데바리새인중에니고데모라하는사람이있으니유대인의지도자라
요3:2 그가밤에예수께와서이르되랍비여우리가당신은하나님께로부터오신선생인줄아나이다하나님이함께하시지아니하시면당신이행하시는이표적을아무도할수없음이니이다
요3:3 예수께서대답하여이르시되진실로진실로네게이르노니사람이거듭나지아니하면하나님의나라를볼수없느니라
요3:4 니고데모가이르되사람이늙으면어떻게날수있사옵나이까두번째모태에들어갔다가날수있사옵나이까
요3:5 예수께서대답하시되진실로진실로네게이르노니사람이물과성령으로나지아니하면하나님의나라에들어갈수없느니라
요3:6 육으로난것은육이요영으로난것은영이니
요3:7 내가네게거듭나야하겠다하는말을놀랍게여기지말라
요3:8 바람이임의로불매네가그소리는들어도어디서와서어디로가는지알지못하나니성령으로난사람도다그러하니라
요3:9 니고데모가대답하여이르되어찌그러한일이있을수있나이까
요3:10 예수께서그에게대답하여이르시되너는이스라엘의선생으로서이러한것들을알지못하느냐
요3:11 진실로진실로네게이르노니우리는아는것을말하고본것을증언하노라그러나너희가우리의증언을받지아니하는도다
요3:12 내가땅의일을말하여도너희가믿지아니하거든하물며하늘의일을말하면어떻게믿겠느냐
요3:13 하늘에서내려온자곧인자외에는하늘에올라간자가없느니라
요3:14 모세가광야에서뱀을든것같이인자도들려야하리니
요3:15 이는그를믿는자마다영생을얻게하려하심이니라
요3:16 하나님이세상을이처럼사랑하사독생자를주셨으니이는그를믿는자마다멸망하지않고영생을얻게하려하심이라
요3:17 하나님이그아들을세상에보내신것은세상을심판하려하심이아니요그로말미암아세상이구원을받게하려하심이라
요3:18 그를믿는자는심판을받지아니하는것이요믿지아니하는자는하나님의독생자의이름을믿지아니하므로벌써심판을받은것이니라
요3:19 그정죄는이것이니곧빛이세상에왔으되사람들이자기행위가악하므로빛보다어둠을더사랑한것이니라
요3:20 악을행하는자마다빛을미워하여빛으로오지아니하나니이는그행위가드러날까함이요
요3:21 진리를따르는자는빛으로오나니이는그행위가하나님안에서행한것임을나타내려함이라하시니라
요3:22 그후에예수께서제자들과유대땅으로가서거기함께유하시며세례를베푸시더라
요3:23 요한도살렘가까운애논에서세례를베푸니거기물이많음이라그러므로사람들이와서세례를받더라
요3:24 요한이아직옥에갇히지아니하였더라
요3:25 이에요한의제자중에서한유대인과더불어정결예식에대하여변론이되었더니
요3:26 그들이요한에게가서이르되랍비여선생님과함께요단강저편에있던이곧선생님이증언하시던이가세례를베풀매사람이다그에게로가더이다
요3:27 요한이대답하여이르되만일하늘에서주신바아니면사람이아무것도받을수없느니라
요3:28 내가말한바나는그리스도가아니요그의앞에보내심을받은자라고한것을증언할자는너희니라
요3:29 신부를취하는자는신랑이나서서신랑의음성을듣는친구가크게기뻐하나니나는이러한기쁨으로충만하였노라
요3:30 그는흥하여야하겠고나는쇠하여야하리라하니라
요3:31 위로부터오시는이는만물위에계시고땅에서난이는땅에속하여땅에속한것을말하느니라하늘로부터오시는이는만물위에계시나니
요3:32 그가친히보고들은것을증언하되그의증언을받는자가없도다
요3:33 그의증언을받는자는하나님이참되시다는것을인쳤느니라
요3:34 하나님이보내신이는하나님의말씀을하나니이는하나님이성령을한량없이주심이니라
요3:35 아버지께서아들을사랑하사만물을다그의손에주셨으니
요3:36 아들을믿는자에게는영생이있고아들에게순종하지아니하는자는영생을보지못하고도리어하나님의진노가그위에머물러있느니라
요4:1 예수께서제자를삼고세례를베푸시는것이요한보다많다하는말을바리새인들이들은줄을주께서아신지라
요4:2 (예수께서친히세례를베푸신것이아니요제자들이베푼것이라)
요4:3 유대를떠나사다시갈릴리로가실새
요4:4 사마리아를통과하여야하겠는지라
요4:5 사마리아에있는수가라하는동네에이르시니야곱이그아들요셉에게준땅이가깝고
요4:6 거기또야곱의우물이있더라예수께서길가시다가피곤하여우물곁에그대로앉으시니때가여섯시쯤되었더라
요4:7 사마리아여자한사람이물을길으러왔으매예수께서물을좀달라하시니
요4:8 이는제자들이먹을것을사러그동네에들어갔음이러라
요4:9 사마리아여자가이르되당신은유대인으로서어찌하여사마리아여자인나에게물을달라하나이까하니이는유대인이사마리아인과상종하지아니함이러라
요4:10 예수께서대답하여이르시되네가만일하나님의선물과또네게물좀달라하는이가누구인줄알았더라면네가그에게구하였을것이요그가생수를네게주었으리라
요4:11 여자가이르되주여물길을그릇도없고이우물은깊은데어디서당신이그생수를얻겠사옵나이까
요4:12 우리조상야곱이이우물을우리에게주셨고또여기서자기와자기아들들과짐승이다마셨는데당신이야곱보다더크니이까
요4:13 예수께서대답하여이르시되이물을마시는자마다다시목마르려니와
요4:14 내가주는물을마시는자는영원히목마르지아니하리니내가주는물은그속에서영생하도록솟아나는샘물이되리라
요4:15 여자가이르되주여그런물을내게주사목마르지도않고또여기물길으러오지도않게하옵소서
요4:16 이르시되가서네남편을불러오라
요4:17 여자가대답하여이르되나는남편이없나이다예수께서이르시되네가남편이없다하는말이옳도다
요4:18 너에게남편다섯이있었고지금있는자도네남편이아니니네말이참되도다
요4:19 여자가이르되주여내가보니선지자로소이다
요4:20 우리조상들은이산에서예배하였는데당신들의말은예배할곳이예루살렘에있다하더이다
요4:21 예수께서이르시되여자여내말을믿으라이산에서도말고예루살렘에서도말고너희가아버지께예배할때가이르리라
요4:22 너희는알지못하는것을예배하고우리는아는것을예배하노니이는구원이유대인에게서남이라
요4:23 아버지께참되게예배하는자들은영과진리로예배할때가오나니곧이때라아버지께서는자기에게이렇게예배하는자들을찾으시느니라
요4:24 하나님은영이시니예배하는자가영과진리로예배할지니라
요4:25 여자가이르되메시야곧그리스도라하는이가오실줄을내가아노니그가오시면모든것을우리에게알려주시리이다
요4:26 예수께서이르시되네게말하는내가그라하시니라
요4:27 이때에제자들이돌아와서예수께서여자와말씀하시는것을이상히여겼으나무엇을구하시나이까어찌하여그와말씀하시나이까묻는자가없더라
요4:28 여자가물동이를버려두고동네로들어가서사람들에게이르되
요4:29 내가행한모든일을내게말한사람을와서보라이는그리스도가아니냐하니
요4:30 그들이동네에서나와예수께로오더라
요4:31 그사이에제자들이청하여이르되랍비여잡수소서
요4:32 이르시되내게는너희가알지못하는먹을양식이있느니라
요4:33 제자들이서로말하되누가잡수실것을갖다드렸는가하니
요4:34 예수께서이르시되나의양식은나를보내신이의뜻을행하며그의일을온전히이루는이것이니라
요4:35 너희는넉달이지나야추수할때가이르겠다하지아니하느냐그러나나는너희에게이르노니너희눈을들어밭을보라희어져추수하게되었도다
요4:36 거두는자가이미삯도받고영생에이르는열매를모으나니이는뿌리는자와거두는자가함께즐거워하게하려함이라
요4:37 그런즉한사람이심고다른사람이거둔다하는말이옳도다
요4:38 내가너희로노력하지아니한것을거두러보내었노니다른사람들은노력하였고너희는그들이노력한것에참여하였느니라
요4:39 여자의말이내가행한모든것을그가내게말하였다증언하므로그동네중에많은사마리아인이예수를믿는지라
요4:40 사마리아인들이예수께와서자기들과함께유하시기를청하니거기서이틀을유하시매
요4:41 예수의말씀으로말미암아믿는자가더욱많아
요4:42 그여자에게말하되이제우리가믿는것은네말로인함이아니니이는우리가친히듣고그가참으로세상의구주신줄앎이라하였더라
요4:43 이틀이지나매예수께서거기를떠나갈릴리로가시며
요4:44 친히증언하시기를선지자가고향에서는높임을받지못한다하시고
요4:45 갈릴리에이르시매갈릴리인들이그를영접하니이는자기들도명절에갔다가예수께서명절중예루살렘에서하신모든일을보았음이더라
요4:46 예수께서다시갈릴리가나에이르시니전에물로포도주를만드신곳이라왕의신하가있어그의아들이가버나움에서병들었더니
요4:47 그가예수께서유대로부터갈릴리로오셨다는것을듣고가서청하되내려오셔서내아들의병을고쳐주소서하니그가거의죽게되었음이라
요4:48 예수께서이르시되너희는표적과기사를보지못하면도무지믿지아니하리라
요4:49 신하가이르되주여내아이가죽기전에내려오소서
요4:50 예수께서이르시되가라네아들이살아있다하시니그사람이예수께서하신말씀을믿고가더니
요4:51 내려가는길에서그종들이오다가만나서아이가살아있다하거늘
요4:52 그낫기시작한때를물은즉어제일곱시에열기가떨어졌나이다하는지라
요4:53 그의아버지가예수께서네아들이살아있다말씀하신그때인줄알고자기와그온집안이다믿으니라
요4:54 이것은예수께서유대에서갈릴리로오신후에행하신두번째표적이니라
요5:1 그후에유대인의명절이되어예수께서예루살렘에올라가시니라
요5:2 예루살렘에있는양문곁에히브리말로베데스다라하는못이있는데거기행각다섯이있고
요5:3 그안에많은병자,맹인,다리저는사람,혈기마른사람들이누워[물의움직임을기다리니
요5:4 이는천사가가끔못에내려와물을움직이게하는데움직인후에먼저들어가는자는어떤병에걸렸든지낫게됨이러라]
요5:5 거기서른여덟해된병자가있더라
요5:6 예수께서그누운것을보시고병이벌써오래된줄아시고이르시되네가낫고자하느냐
요5:7 병자가대답하되주여물이움직일때에나를못에넣어주는사람이없어내가가는동안에다른사람이먼저내려가나이다
요5:8 예수께서이르시되일어나네자리를들고걸어가라하시니
요5:9 그사람이곧나아서자리를들고걸어가니라
요5:10 유대인들이병나은사람에게이르되안식일인데네가자리를들고가는것이옳지아니하니라
요5:11 대답하되나를낫게한그가자리를들고걸어가라하더라하니
요5:12 그들이묻되너에게자리를들고걸어가라한사람이누구냐하되
요5:13 고침을받은사람은그가누구인지알지못하니이는거기사람이많으므로예수께서이미피하셨음이라
요5:14 그후에예수께서성전에서그사람을만나이르시되보라네가나았으니더심한것이생기지않게다시는죄를범하지말라하시니
요5:15 그사람이유대인들에게가서자기를고친이는예수라하니라
요5:16 그러므로안식일에이러한일을행하신다하여유대인들이예수를박해하게된지라
요5:17 예수께서그들에게이르시되내아버지께서이제까지일하시니나도일한다하시매
요5:18 유대인들이이로말미암아더욱예수를죽이고자하니이는안식일을범할뿐만아니라하나님을자기의친아버지라하여자기를하나님과동등으로삼으심이러라
요5:19 그러므로예수께서그들에게이르시되내가진실로진실로너희에게이르노니아들이아버지께서하시는일을보지않고는아무것도스스로할수없나니아버지께서행하시는그것을아들도그와같이행하느니라
요5:20 아버지께서아들을사랑하사자기가행하시는것을다아들에게보이시고또그보다더큰일을보이사너희로놀랍게여기게하시리라
요5:21 아버지께서죽은자들을일으켜살리심같이아들도자기가원하는자들을살리느니라
요5:22 아버지께서아무도심판하지아니하시고심판을다아들에게맡기셨으니
요5:23 이는모든사람으로아버지를공경하는것같이아들을공경하게하려하심이라아들을공경하지아니하는자는그를보내신아버지도공경하지아니하느니라
요5:24 내가진실로진실로너희에게이르노니내말을듣고또나보내신이를믿는자는영생을얻었고심판에이르지아니하나니사망에서생명으로옮겼느니라
요5:25 진실로진실로너희에게이르노니죽은자들이하나님의아들의음성을들을때가오나니곧이때라듣는자는살아나리라
요5:26 아버지께서자기속에생명이있음같이아들에게도생명을주어그속에있게하셨고
요5:27 또인자됨으로말미암아심판하는권한을주셨느니라
요5:28 이를놀랍게여기지말라무덤속에있는자가다그의음성을들을때가오나니
요5:29 선한일을행한자는생명의부활로,악한일을행한자는심판의부활로나오리라
요5:30 내가아무것도스스로할수없노라듣는대로심판하노니나는나의뜻대로하려하지않고나를보내신이의뜻대로하려하므로내심판은의로우니라
요5:31 내가만일나를위하여증언하면내증언은참되지아니하되
요5:32 나를위하여증언하시는이가따로있으니나를위하여증언하시는그증언이참인줄아노라
요5:33 너희가요한에게사람을보내매요한이진리에대하여증언하였느니라
요5:34 그러나나는사람에게서증언을취하지아니하노라다만이말을하는것은너희로구원을받게하려함이니라
요5:35 요한은켜서비추이는등불이라너희가한때그빛에즐거이있기를원하였거니와
요5:36 내게는요한의증거보다더큰증거가있으니아버지께서내게주사이루게하시는역사곧내가하는그역사가아버지께서나를보내신것을나를위하여증언하는것이요
요5:37 또한나를보내신아버지께서친히나를위하여증언하셨느니라너희는아무때에도그음성을듣지못하였고그형상을보지못하였으며
요5:38 그말씀이너희속에거하지아니하니이는그가보내신이를믿지아니함이라
요5:39 너희가성경에서영생을얻는줄생각하고성경을연구하거니와이성경이곧내게대하여증언하는것이니라
요5:40 그러나너희가영생을얻기위하여내게오기를원하지아니하는도다
요5:41 나는사람에게서영광을취하지아니하노라
요5:42 다만하나님을사랑하는것이너희속에없음을알았노라
요5:43 나는내아버지의이름으로왔으매너희가영접하지아니하나만일다른사람이자기이름으로오면영접하리라
요5:44 너희가서로영광을취하고유일하신하나님께로부터오는영광은구하지아니하니어찌나를믿을수있느냐
요5:45 내가너희를아버지께고발할까생각하지말라너희를고발하는이가있으니곧너희가바라는자모세니라
요5:46 모세를믿었더라면또나를믿었으리니이는그가내게대하여기록하였음이라
요5:47 그러나그의글도믿지아니하거든어찌내말을믿겠느냐하시니라
요6:1 그후에예수께서디베랴의갈릴리바다건너편으로가시매
요6:2 큰무리가따르니이는병자들에게행하시는표적을보았음이러라
요6:3 예수께서산에오르사제자들과함께거기앉으시니
요6:4 마침유대인의명절인유월절이가까운지라
요6:5 예수께서눈을들어큰무리가자기에게로오는것을보시고빌립에게이르시되우리가어디서떡을사서이사람들을먹이겠느냐하시니
요6:6 이렇게말씀하심은친히어떻게하실지를아시고빌립을시험하고자하심이라
요6:7 빌립이대답하되각사람으로조금씩받게할지라도이백데나리온의떡이부족하리이다
요6:8 제자중하나곧시몬베드로의형제안드레가예수께여짜오되
요6:9 여기한아이가있어보리떡다섯개와물고기두마리를가지고있나이다그러나그것이이많은사람에게얼마나되겠사옵나이까
요6:10 예수께서이르시되이사람들로앉게하라하시니그곳에잔디가많은지라사람들이앉으니수가오천명쯤되더라
요6:11 예수께서떡을가져축사하신후에앉아있는자들에게나눠주시고물고기도그렇게그들의원대로주시니라
요6:12 그들이배부른후에예수께서제자들에게이르시되남은조각을거두고버리는것이없게하라하시므로
요6:13 이에거두니보리떡다섯개로먹고남은조각이열두바구니에찼더라
요6:14 그사람들이예수께서행하신이표적을보고말하되이는참으로세상에오실그선지자라하더라
요6:15 그러므로예수께서그들이와서자기를억지로붙들어임금으로삼으려는줄아시고다시혼자산으로떠나가시니라
요6:16 저물매제자들이바다에내려가서
요6:17 배를타고바다를건너가버나움으로가는데이미어두웠고예수는아직그들에게오시지아니하셨더니
요6:18 큰바람이불어파도가일어나더라
요6:19 제자들이노를저어십여리쯤가다가예수께서바다위로걸어배에가까이오심을보고두려워하거늘
요6:20 이르시되내니두려워하지말라하신대
요6:21 이에기뻐서배로영접하니배는곧그들이가려던땅에이르렀더라
요6:22 이튿날바다건너편에서있던무리가배한척외에다른배가거기없는것과또어제예수께서제자들과함께그배에오르지아니하시고제자들만가는것을보았더니
요6:23 (그러나디베랴에서배들이주께서축사하신후여럿이떡먹던그곳에가까이왔더라)
요6:24 무리가거기에예수도안계시고제자들도없음을보고곧배들을타고예수를찾으러가버나움으로가서
요6:25 바다건너편에서만나랍비여언제여기오셨나이까하니
요6:26 예수께서대답하여이르시되내가진실로진실로너희에게이르노니너희가나를찾는것은표적을본까닭이아니요떡을먹고배부른까닭이로다
요6:27 썩을양식을위하여일하지말고영생하도록있는양식을위하여하라이양식은인자가너희에게주리니인자는아버지하나님께서인치신자니라
요6:28 그들이묻되우리가어떻게하여야하나님의일을하오리이까
요6:29 예수께서대답하여이르시되하나님께서보내신이를믿는것이하나님의일이니라하시니
요6:30 그들이묻되그러면우리가보고당신을믿도록행하시는표적이무엇이니이까,하시는일이무엇이니이까
요6:31 기록된바하늘에서그들에게떡을주어먹게하였다함과같이우리조상들은광야에서만나를먹었나이다
요6:32 예수께서이르시되내가진실로진실로너희에게이르노니모세가너희에게하늘로부터떡을준것이아니라내아버지께서너희에게하늘로부터참떡을주시나니
요6:33 하나님의떡은하늘에서내려세상에생명을주는것이니라
요6:34 그들이이르되주여이떡을항상우리에게주소서
요6:35 예수께서이르시되나는생명의떡이니내게오는자는결코주리지아니할터이요나를믿는자는영원히목마르지아니하리라
요6:36 그러나내가너희에게이르기를너희는나를보고도믿지아니하는도다하였느니라
요6:37 아버지께서내게주시는자는다내게로올것이요내게오는자는내가결코내쫓지아니하리라
요6:38 내가하늘에서내려온것은내뜻을행하려함이아니요나를보내신이의뜻을행하려함이니라
요6:39 나를보내신이의뜻은내게주신자중에내가하나도잃어버리지아니하고마지막날에다시살리는이것이니라
요6:40 내아버지의뜻은아들을보고믿는자마다영생을얻는이것이니마지막날에내가이를다시살리리라하시니라
요6:41 자기가하늘에서내려온떡이라하시므로유대인들이예수에대하여수군거려
요6:42 이르되이는요셉의아들예수가아니냐그부모를우리가아는데자기가지금어찌하여하늘에서내려왔다하느냐
요6:43 예수께서대답하여이르시되너희는서로수군거리지말라
요6:44 나를보내신아버지께서이끌지아니하시면아무도내게올수없으니오는그를내가마지막날에다시살리리라
요6:45 선지자의글에그들이다하나님의가르치심을받으리라기록되었은즉아버지께듣고배운사람마다내게로오느니라
요6:46 이는아버지를본자가있다는것이아니니라오직하나님에게서온자만아버지를보았느니라
요6:47 진실로진실로너희에게이르노니믿는자는영생을가졌나니
요6:48 내가곧생명의떡이니라
요6:49 너희조상들은광야에서만나를먹었어도죽었거니와
요6:50 이는하늘에서내려오는떡이니사람으로하여금먹고죽지아니하게하는것이니라
요6:51 나는하늘에서내려온살아있는떡이니사람이이떡을먹으면영생하리라내가줄떡은곧세상의생명을위한내살이니라하시니라
요6:52 그러므로유대인들이서로다투어이르되이사람이어찌능히자기살을우리에게주어먹게하겠느냐
요6:53 예수께서이르시되내가진실로진실로너희에게이르노니인자의살을먹지아니하고인자의피를마시지아니하면너희속에생명이없느니라
요6:54 내살을먹고내피를마시는자는영생을가졌고마지막날에내가그를다시살리리니
요6:55 내살은참된양식이요내피는참된음료로다
요6:56 내살을먹고내피를마시는자는내안에거하고나도그의안에거하나니
요6:57 살아계신아버지께서나를보내시매내가아버지로말미암아사는것같이나를먹는그사람도나로말미암아살리라
요6:58 이것은하늘에서내려온떡이니조상들이먹고도죽은그것과같지아니하여이떡을먹는자는영원히살리라
요6:59 이말씀은예수께서가버나움회당에서가르치실때에하셨느니라
요6:60 제자중여럿이듣고말하되이말씀은어렵도다누가들을수있느냐한대
요6:61 예수께서스스로제자들이이말씀에대하여수군거리는줄아시고이르시되이말이너희에게걸림이되느냐
요6:62 그러면너희는인자가이전에있던곳으로올라가는것을본다면어떻게하겠느냐
요6:63 살리는것은영이니육은무익하니라내가너희에게이른말은영이요생명이라
요6:64 그러나너희중에믿지아니하는자들이있느니라하시니이는예수께서믿지아니하는자들이누구며자기를팔자가누구인지처음부터아심이러라
요6:65 또이르시되그러므로전에너희에게말하기를내아버지께서오게하여주지아니하시면누구든지내게올수없다하였노라하시니라
요6:66 그때부터그의제자중에서많은사람이떠나가고다시그와함께다니지아니하더라
요6:67 예수께서열두제자에게이르시되너희도가려느냐
요6:68 시몬베드로가대답하되주여영생의말씀이주께있사오니우리가누구에게로가오리이까
요6:69 우리가주는하나님의거룩하신자이신줄믿고알았사옵나이다
요6:70 예수께서대답하시되내가너희열둘을택하지아니하였느냐그러나너희중의한사람은마귀니라하시니
요6:71 이말씀은가룟시몬의아들유다를가리키심이라그는열둘중의하나로예수를팔자러라
요7:1 그후에예수께서갈릴리에서다니시고유대에서다니려아니하심은유대인들이죽이려함이러라
요7:2 유대인의명절인초막절이가까운지라
요7:3 그형제들이예수께이르되당신이행하는일을제자들도보게여기를떠나유대로가소서
요7:4 스스로나타나기를구하면서묻혀서일하는사람이없나니이일을행하려하거든자신을세상에나타내소서하니
요7:5 이는그형제들까지도예수를믿지아니함이러라
요7:6 예수께서이르시되내때는아직이르지아니하였거니와너희때는늘준비되어있느니라
요7:7 세상이너희를미워하지아니하되나를미워하나니이는내가세상의일들을악하다고증언함이라
요7:8 너희는명절에올라가라내때가아직차지못하였으니나는이명절에아직올라가지아니하노라
요7:9 이말씀을하시고갈릴리에머물러계시니라
요7:10 그형제들이명절에올라간후에자기도올라가시되나타내지않고은밀히가시니라
요7:11 명절중에유대인들이예수를찾으면서그가어디있느냐하고
요7:12 예수에대하여무리중에서수군거림이많아어떤사람은좋은사람이라하며어떤사람은아니라무리를미혹한다하나
요7:13 그러나유대인들을두려워하므로드러나게그에대하여말하는자가없더라
요7:14 이미명절의중간이되어예수께서성전에올라가사가르치시니
요7:15 유대인들이놀랍게여겨이르되이사람은배우지아니하였거늘어떻게글을아느냐하니
요7:16 예수께서대답하여이르시되내교훈은내것이아니요나를보내신이의것이니라
요7:17 사람이하나님의뜻을행하려하면이교훈이하나님께로부터왔는지내가스스로말함인지알리라
요7:18 스스로말하는자는자기영광만구하되보내신이의영광을구하는자는참되니그속에불의가없느니라
요7:19 모세가너희에게율법을주지아니하였느냐너희중에율법을지키는자가없도다너희가어찌하여나를죽이려하느냐
요7:20 무리가대답하되당신은귀신이들렸도다누가당신을죽이려하나이까
요7:21 예수께서대답하여이르시되내가한가지일을행하매너희가다이로말미암아이상히여기는도다
